title,author,illustrator,isbn,publishedYear,publisher,paragraphInfoCount,라벨,연령대
아기 코끼리는 물놀이를 하고 싶어요,제다 로바드,제다 로바드,9791165435011,2022,아람키즈,7,의사소통,유아
황금 물고기와 욕심쟁이 아내,문이재 독서논술연구소,조대희,9791159424809,2020,무지개,1,의사소통,유아
삼 년 고개,문이재 독서논술연구소,양수홍,9791159424908,2020,무지개,6,의사소통,유아
변덕쟁이 애벌레,이선아,오승민,9791128216725,2019,아람북스,1,의사소통,유아
딱 좋아!,꼬두람이,꼬두람이,9791165432454,2021,아람키즈,3,의사소통,유아
금도끼 은도끼,문이재 독서논술연구소,송준일,9791159424823,2020,무지개,9,의사소통,유아
잠자는 숲 속의 공주,문이재 독서논술연구소,전상우,9791159424724,2020,무지개,1,의사소통,유아
문어의 편지,장선혜,이주연,9791128216763,2019,아람북스,1,의사소통,유아
바다는 신나요,꼬두람이,꼬두람이,9791165432416,2021,아람키즈,3,의사소통,유아
미미의 신발이 없어졌어요,아이글터,Zuni,9788993877434,2009,어깨동무,5,의사소통,유아
다람이와 포람이는 단짝 친구,피오나 바커,크리스틴 핌,9791165437077,2022,아람키즈,14,의사소통,유아
장화 신은 고양이,문이재 독서논술연구소,장은정,9791159424748,2020,무지개,1,의사소통,유아
은혜 갚은 호랑이,문이재 독서논술연구소,김승태,9791159425011,2020,무지개,9,의사소통,유아
파랑새를 찾아서,문이재 독서논술연구소,최지연,9791159424762,2020,무지개,1,의사소통,유아
"우아, 멋지다!",꼬두람이,꼬두람이,9791165432362,2021,아람키즈,2,의사소통,유아
새우 배는 어떤 배?,우은경,이수현,9791128216961,2019,아람북스,8,의사소통,유아
나 혼자 할 수 있을까?,꼬두람이,꼬두람이,9791165432263,2021,아람키즈,3,의사소통,유아
아기 자동차 수비의 소원,김정하,이해정,9788961916134,2011,한얼교육,1,의사소통,유아
예민한 오렌지,아이글터,Zuni,9788993877342,2009,어깨동무,4,의사소통,유아
아기 고양이가 야옹!,라파엘라 볼라피오,라파엘라 볼라피오,9791165435783,2022,아람북스,1,의사소통,유아
벌거벗은 임금님,문이재 독서논술연구소,박은진,9791159424618,2020,무지개,8,의사소통,유아
어부바!,이선아,아람북스,9791128212703,2018,아람북스,3,의사소통,유아
소리로 계산한 고기 값,문이재 독서논술연구소,김진미,9791159424946,2020,무지개,9,의사소통,유아
이야기 주머니,문이재 독서논술연구소,박희철,9791159425059,2020,무지개,11,의사소통,유아
눈덩이를 영차영차!,아니타 베이스테르보스,아니타 베이스테르보스,9791165435998,2022,아람북스,9,의사소통,유아
독장수와 호랑이,문이재 독서논술연구소,김동순,9791159424854,2020,무지개,7,의사소통,유아
여러가지 모양,아이글터,Zuni,9788993877649,2009,어깨동무,2,의사소통,유아
부끄럼쟁이 카멜레온,하늘땅,이지원,9791165953973,2022,아람북스,2,의사소통,유아
"1, 2, 3 세어 보아요!",하늘땅,김정은,9791165953980,2022,아람북스,1,의사소통,유아
멋쟁이 수박,아이글터,Zuni,9788993877359,2009,어깨동무,3,의사소통,유아
근이와 원이의 힘겨루기,조정옥,여동헌,9788961916158,2011,한얼교육,1,의사소통,유아
미안해!,장선혜,아람북스,9791128212512,2018,아람북스,4,의사소통,유아
"궁금하다, 궁금해!",조정옥,주성혜,9788961915915,2011,한얼교육,1,의사소통,유아
나랑 친구 할래?,김경수,조수진,9791128216978,2019,아람북스,2,의사소통,유아
새와 나무의 이야기,아이글터,Zuni,9788993877687,2009,어깨동무,4,의사소통,유아
빨간 모자,문이재 독서논술연구소,임원철,9791159424632,2020,무지개,10,의사소통,유아
바구니 들고 출발,최나미,아람북스,9791157592487,2015,아람북스,4,의사소통,유아
말벌이 콕!,김인숙,장은주,9791128216695,2019,아람북스,1,의사소통,유아
아하! 그랬구나!,꼬두람이,꼬두람이,9791165432409,2021,아람키즈,5,의사소통,유아
아기 기린이 점무늬를 찾아요,제다 로바드,제다 로바드,9791165435004,2022,아람키즈,2,의사소통,유아
"콜콜, 아기 잠",박정완,아람북스,9791157592524,2015,아람북스,7,의사소통,유아
어? 고구마일까?,오오이 준코,오오이 준코,9791165436001,2022,아람북스,4,의사소통,유아
누구일까요?,아이글터,Zuni,9788993877410,2009,어깨동무,6,의사소통,유아
도깨비와 게암,문이재 독서논술연구소,양하준,9791159424847,2020,무지개,9,의사소통,유아
머리헌뎅이 코흘리개 눈곱쟁이,김은경,구소리,9791157987276,2019,세이펜북스,1,의사소통,유아
"우리 아기, 뽀뽀!",엘리자베스 코우돌,김세정,9791165435851,2022,아람북스,2,의사소통,유아
놀면서 자라요!,김민진,아람북스,9791128212734,2018,아람북스,3,의사소통,유아
그림에서 찾아봐,고영이,안재선,9791128216893,2019,아람북스,9,의사소통,유아
아기 얼룩말은 행복해요,제다 로바드,제다 로바드,9791165435073,2022,아람키즈,7,의사소통,유아
아기 토끼가 파티에 가요,제다 로바드,제다 로바드,9791165435035,2022,아람키즈,7,의사소통,유아
뭘 해도 예쁜 우리 아기,이선아,아람북스,9791157592548,2015,아람북스,2,의사소통,유아
피리 부는 사나이,문이재 독서논술연구소,양자윤,9791159424779,2020,무지개,1,의사소통,유아
무얼 입고 있나요?,코넬리아 뵈제,이나 하텐하우어,9791165435912,2022,아람북스,5,의사소통,유아
고소한 달,우은경,박정은,9791128216985,2019,아람북스,1,의사소통,유아
소가 된 게으름뱅이,문이재 독서논술연구소,김수환,9791159424922,2020,무지개,7,의사소통,유아
"동물들아, 안녕!",마르코스 파리나,마르코스 파리나,9791165435974,2022,아람북스,4,의사소통,유아
어떻게 하지?,꼬두람이,꼬두람이,9791165432294,2021,아람키즈,2,의사소통,유아
우렁각시,문이재 독서논술연구소,박지용,9791159424991,2020,무지개,10,의사소통,유아
옥예와 두꺼비,문이재 독서논술연구소,박창현,9791159424960,2020,무지개,9,의사소통,유아
옛날에 정말 공룡이 살았을까?,백금서,여동헌,9788961916080,2011,한얼교육,1,의사소통,유아
아기 나무늘보가 담요를 찾아요,제다 로바드,제다 로바드,9791165435028,2022,아람키즈,8,의사소통,유아
별주부전,문이재 독서논술연구소,임창섭,9791159424892,2020,무지개,10,의사소통,유아
내 망토엔 모자가 있어요,히가시 나오코,마치다 나오코,9791165435981,2022,아람북스,4,의사소통,유아
거인의 정원,문이재 독서논술연구소,김승태,9791159424502,2020,무지개,7,의사소통,유아
고미의 아침,조정수,이병호,9788993877670,2009,어깨동무,1,의사소통,유아
진주를 삼킨 거위와 군자,김영숙,홍승희,9788961915953,2011,한얼교육,1,의사소통,유아
열한 마리의 백조 왕자,문이재 독서논술연구소,송수미,9791159424694,2020,무지개,9,의사소통,유아
