isbn13,description,loanCnt,keyword
9791128216725,,756,
9791128216763,,809,
9791128216961,,607,
9788961916134,"생각하는 힘을 길러주는「우리아이 철학동화 아테네 학당」시리즈『아기 자동차 수비의 소원』. 철학동화를 통해 동서양의 철학 사상을 자연스럽게 알려줌으로써 비판적 사고력과 창의력을 키울 수 있도록 도와줍니다. 본문 내용을 다양한 미술기법으로 표현한 그림으로 구성했으며, 그때그때 내용 이해를 돕기...",177,
9791165435783,,229,
9791128212703,,301,
9791165435998,,289,
9788961916158,"생각하는 힘을 길러주는「우리아이 철학동화 아테네 학당」시리즈『근이와 원이의 힘겨루기』. 철학동화를 통해 동서양의 철학 사상을 자연스럽게 알려줌으로써 비판적 사고력과 창의력을 키울 수 있도록 도와줍니다. 본문 내용을 다양한 미술기법으로 표현한 그림으로 구성했으며, 그때그때 내용 이해를 돕기...",143,
9791128212512,,378,
9788961915915,"생각하는 힘을 길러주는「우리아이 철학동화 아테네 학당」시리즈『궁금하다, 궁금해!』. 철학동화를 통해 동서양의 철학 사상을 자연스럽게 알려줌으로써 비판적 사고력과 창의력을 키울 수 있도록 도와줍니다. 본문 내용을 다양한 미술기법으로 표현한 그림으로 구성했으며, 그때그때 내용 이해를 돕기 위한...",197,
9791128216978,,553,
9791157592487,탯줄동화 아람 [베이비올 탄생] - 모양책 / 생활 영역 발달  &#039;바구니 들고 출발&#039;은 아기가 손에 쥐고 다닐 수 있게 만든 바구니 모양의 책입니다. 아기가 평소 생활하며 자주 접하는 물건들을 바구니 속에 하나씩 담아 아기가 직접 들고 다니며 놀 수 있게 구성했습니다. 책을 읽으면서 아기가...,137,
9791128216695,,644,
9791157592524,"탯줄동화 아람 [베이비올 탄생] - 잠자리 동화 / 생활 영역 발달  &#039;콜콜, 아기 잠&#039; 아기를 재우면서 엄마, 아빠가 조곤조곤 읽어 줄 수 있게 구성한 그림책입니다. 잠을 &#039;아기 잠&#039;이라는 형태로 의인화하여, 아기 잠이 아기를 찾아와 재워 주기까지의 과정을 그렸습니다. 잠들 때에도...",56,
9791165436001,,314,
9791157987276,,104,
9791165435851,,269,
9791128212734,,322,
9791128216893,,639,
