isbn13,description,loanCnt,keyword
9788966350759,"기발한 상상력이 돋보이는 색다른 감각의 숫자 그림책. 위로 위로 하늘 100층짜리 집을 10층, 20층, 30층… 이렇게 10층씩 올라가는 사이 각각 다른 의인화한 하늘의 존재들을 만나게 된다.",100648,"그림책,하늘,언제까지나 너를 사랑해,문학동네,제멋대로 휴가,일본,그 여자의 가위,노도새,똥 똥 개똥 밥,학교 처음 가는 날,상상력,한국 아이태국 아이 한태,봄이 준 선물,이야기보따리를 훔친 호랑이,날지 못하는 반딧불이,위로,100층짜리 집 시리즈,100층짜리 집,시리즈,번역,북뱅크,김숙,존재,기발,창작그림책,10층,이와이 도시오,1999년,사이,소설집,숫자,20층,신선,신인,아이,아이 태국,아이들,기획,공간,기분,김하루,놀이,다양,동국대학교,동화책,효과,구석구석,구름,교육학,공기"
9791158360375,그림책이 참 좋아 39권. 동동이는 오늘도 친구들이 먼저 말 걸어 주기를 바라며 놀이터 한구석에서 구슬치기를 한다. 그런데 친구들은 구슬치기에도 동동이에게도 별 관심이 없는 듯하다. ‘혼자 노는 것도 나쁘지 않다’며 애써 태연한 척해 보지만….,172072,"장수탕 선녀님,알사탕,백희나,아빠,이상한 엄마,친구,그림책,구름빵,삐약이 엄마,꿈에서 맛본 똥파리,나랑 같이 놀래,달 샤베트,팥죽 할멈과 호랑이,마법,어제저녁,북풍을 찾아간 소년,분홍 줄,안녕,사랑,잔소리,동동이,대신,유아용그림책,애니메이션,한국,책읽는곰,사탕,구슬,혼자,성장,설거지,소개,부문,반응,볼로냐,색깔,교육공학,8년,Arts,MD,storybowl,www,가지가지,강미연,강아지,구슬이와,구슬치기,국제,California,다양"
9788993242706,"그림책이 참 좋아 7권. &lt;구름빵&gt;의 작가 백희나의 판타지 그림책. 우리 동네에는 아주 오래된 목욕탕이 있다. 큰길에 새로 생긴 스파 랜드에는 게임방도 있고 얼음방도 있다는데, 엄마는 오늘도 장수탕이다. 그런데 냉탕에 이상한 할머니가 나타났다!",188685,"덕지,할머니,선녀,백희나,세계,상상,목욕탕,판타지,냉탕,그림책,아이,장수탕 선녀님,엄마,마법,공간,일상,구름빵,동네,장수탕,행복,마녀,요구르트,인형,어른,오늘,세상,가슴,아이들,어린이,날개옷,온전,현실,시간,무대,표정,이웃,독자,몸짓,주인공,감성,순간,놀이,산신령,자신,2013년,스파,알사탕,바탕,게임방,아주아주"
9788989863915,"기발한 상상력이 돋보이는 색다른 감각의 숫자 그림책. 각기 다른 동물들이 살고 있는 지하 10층, 20층, 30층… 이렇게 10층씩을 내려가는 사이 저절로 1에서 100까지 쉽게 익힐 수 있는 그림책이다. 등장하는 동물들의 특징을 기발한 상상력으로 그려내 읽는 재미를 한층 더 느끼게 해 준다. 또한, 그림을 통해 각 동물들의 생태까지 상세하게 알 수 있다.",117049,"그림책,냉장고의 여름방학,노도새,동물,똥 똥 개똥 밥,문학동네,그 여자의 가위,날지 못하는 반딧불이,봄이 준 선물,100층짜리 집,이야기보따리를 훔친 호랑이,언제까지나 너를 사랑해,한국 아이태국 아이 한태,학교 처음 가는 날,북뱅크,상상력,이와이 도시오,번역,김숙,기발,2011년 1월,김하루,신인,20층,아이 태국,애니메이션,어린이,우리말,아이,10층씩,일본,읽기,재미,전문서점,시리즈,숫자,소설집,동국대학교,기획,동화책,등장,30층,그림,교육학,감각,한태,사이,모임,상세,생태"
9788949110073,얼른 보면 재미만 노리는 동화처럼 보인다．그러나 한 두 번 반복해서 읽으면 중요한 의미가 암시되고 있는，하나의 중요한 교훈이 담긴 동화라는 것을 알게 된다．어린 아이의 사정이 어른의 눈에는 무의미할지 모르나 하늘의 눈에는 소중한 것이라는 사실을 가르치는 교훈이다.,89086,"선생님,보르카,그림책,지각,학교,박상희,옥슨버리,유럽,비룡소,사람,존 버닝햄,교육,헬린,일러스트레이터,시절,고래가 숨쉬는 도서관 추천도서,시작,영국,아트,얼굴,예상치,오브,자신,자기,이해,이유,유명,영향,완강,와일드스미스,스쿨,소란,센트럴,공부,관습,그린어웨이,기피,남편,독특,런던,혼자,문제,미술,병역,브라이언,버닝햄,섬머힐,성향,세계,세상"
9788966350278,"100층짜리 집 시리즈 3권. 바다 속 100층짜리 집을 10층씩 내려가는 사이 각각 다른 동물들을 만나게 된다. 차례차례 나타나는 바다에 사는 동물들의 특징을 기발한 상상력으로 오밀조밀하게 그려놓아, 그림만 살펴보아도 바다에 사는 동물들의 생태를 알 수 있다.",138550,"바다,100층짜리 집,동물,지하 100층짜리 집,10층,그림책,상상력,모자,100층짜리,100층,아이,해달,이나이이나이밧,인형,그림,그 여자의 가위,똥 똥 개똥 밥,문어,이와이,소라,바다 100층짜리 집,냉장고의 여름방학,날지 못하는 반딧불이,특징,상승해류,김숙,사이,기발,일렉트로프랑크톤,숫자,어디가 이상해,콩이,100층짜리 집 시리즈,언제까지나 너를 사랑해,도토로 뿅뿅,문학동네,일본,학교 처음 가는 날,생태,아귀,돌고래,머리카락,해마,한국 아이태국 아이 한태,곰치,선물,불가사리,봄이 준 선물,TENORION,우고우고루가"
9791185564951,"작은 곰자리 시리즈 27권, 우당탕탕 고양이 시리즈 1권. 연필로 쓱쓱 낙서한 듯한 작가 특유의 그림과 야옹이들의 작은 움직임 하나도 놓치지 않는 풍부한 의성어와 의태어로 아이들의 마음을 사로잡는다. ‘2013 MOE 그림책 대상’에서 4위를 차지한 작품이기도 하다.",91380,"야옹이,공장,시리즈,말썽쟁이,그림책,멍멍이 디럭스,펭귄 남매랑 함께 타요,빵 공장이 들썩들썩,삐악삐악,겨울은 어떤 곳이야,일본,우당탕탕,센슈와 웃토,우당탕탕 야옹이,마르가리타의 모험,세상,씨네,모습,노릇노릇,윤수정  옮긴이,구도 노리코,기분,책읽는곰,jp,낙서,MOE,사랑,겨울,손수건,습격,사고,쓱쓱,아이,아이들,4위를,고양이,곰자리,볼록,노란,대상,대작전,동화,마음,만화,만화가,그린,남매,www,활발,벌이"
9788958284482,"사계절 그림책 시리즈. 개성 넘치는 젊은 작가 박정섭의 세 번째 창작그림책이다. 소문, 거짓말, 따돌림… 소재는 무겁지만 그림에는 장난기가 가득하다. 또 하나 재미있는 점은 장면을 설명하는 글 대신 아귀와 물고기 떼가 주고받는 대화로만 이야기를 끌고 가는 것이다.",108159,"물고기,아귀,감기 걸린 물고기,그림책,소문,사계절,짝꿍,놀자,도둑을 잡아라,똥시집,으랏차차 뚱보클럽,그림책 쿠킹박스,담배 피우는 엄마,우리 반 욕킬러,토선생 거선생,검은 강아지,콧구멍 왕자,박정섭,한국,산만,그림,장면,상상력,질문,모습,감기,봅시,배짱,배경,행동,물풀,문래동,문장,바다,밀고,답답,개성,고개,과감,궁금,궁리,그린,나라,녀석,노랑,거짓,대신,대화,동시,디자인"
9788901113241,"웅진 세계 그림책 시리즈 136권. 케이트 그린어웨이 상, 안데르센 상 등 다양한 그림책 관련 상을 수상한 바 있는 세계 최고의 그림책 작가 앤서니 브라운의 그림책. 영국에서 ‘마술 연필’을 주제로 열린 그림책 대회에서 수상한 30명의 꼬마 작가들의 글과 그림에 앤서니 브라운의 그림이 환상적으로 어우러져 재미있고 독창적인 그림책을 만들어냈다.",69685,"그림책,그림,앤서니,브라운,연필,마술,어린이,꼬마곰,앤서니 브라운의 마술 연필,상상력,위기,꼬마,영국,독자,등장인물,주제,아이들,동물,자신,상황,세계,의식,멸종,독특,순간,세상,워크숍,대회,최고,그린어웨이,케이트,동물원,방법,너도 갖고 싶니,문제,장면,아주,재치,돼지책,다양,수상,다음,가능,작업,사랑,특별,코끼리,거울 속으로,고릴라,아이디어"
9791185751917,"신나는 새싹 시리즈 37권. 서양의 전통적 디저트인 크림봉봉(fruit fool)을 통해 4세기에 걸친 생활사의 변천과, 시대가 변해도 달라지 않는 정신적 가치를 두루 살펴본다. 수백 년이 흘러도 한결같은 맛, 산딸기 크림봉봉 하나로 어린 독자와 성인까지 모두가 많은 이야기를 나눌 수 있다.",57619,"크림봉봉,그림책,산딸기,디저트,그림,4세기,가치,거품기,독자,2015년,대학교,달콤,한눈,뉴욕타임스,길상효,나눌,씨드북,정신적,성인,최고,새싹,변천,생활사,에밀리 젠킨스,fool,fruit,미국,전통적,서양,시대,마시멜로,방법,Dessert,동화책,도구,레모네이드,등장,혼북,Creatures,Go,Inkling,Invisible,Lemonade,겨울,공부,군침,그릇,근현대사,글로브,글쓰기"
9788958284055,"아이들의 하루를 위로하고 함께 울어 주는 그림책이다. 요즘 아이들의 하루 풍경이 그려지며, 눈물을 통해 스스로의 마음을 달래는 아이들의 모습이 그려진다.",83365,"아이들,하루,눈물,눈물바다,주인공,시험,그림책,사람,선생님,엄마,오늘,상상,위로,마음,바다,웃음,생각,부모님,요즘,아이,말일,유머,모습,속상,순식간,먹구름,시간,억울,아침,머리,야단,친구,갈등,감정,비가,결국,2010년,저녁밥,짝꿍,공룡,사계절출판사,서현,종이박스,일들,일상,우산,급식,급류,수업,얼굴"
9788949105048,"2016 제1회 비룡소 캐릭터 그림책상 대상 수상작으로, 심사위원들로부터 밝고 유쾌한 인물 캐릭터 ‘괜찮아 아저씨’를 주인공으로 장면 연출은 물론이고 이야기의 완성도가 뛰어나다는 평을 들으며 대상작으로 결정되었다.",44792,"캐릭터,아저씨,그림책,머리카락,괜찮아 아저씨,비룡소,가닥,그림책상,아이들,발랄,대상,유쾌,사랑,긍정,공모전,장면,제1회,얼굴,심사위원,수상작,반복,마법 식당,세계,다양,어린이청소년 새책,마녀 위니,완성도가,독자,지원이와 병관이 시리즈,주인공,개구쟁이 아치,한국,개념,시작,스튜디오게일,신창환,시리즈,누구,상황,신문,분야,개성,어른,연출,고대영,공감,걱정,쏙쏙,2016년,김경희"
9788956187372,반달 그림책 26권. 첫 그림책으로 &lt;가래떡&gt;을 펴낸 사이다 작가가 먹을거리를 소재로 한 두 번째 그림책 &lt;고구마구마&gt;를 펴냈다. 아이들과 함께 밭에서 고구마를 수확하며 살펴본 고구마들의 생김새들이 머릿속에 술술 떠올라 신나게 만든 이야기다.,89323,"고구마,고구마구마,가래떡,그림책,반달,덩굴,사이다,세상,먹을거리,머릿속,보이,생김새,풀 친구,너와 나,쑤욱,수확,소재,아이들,엄마,표지,고구마구,한국,자신,주지,제목,재치,차례,위대,요절복통,책장,이의,인사,일도,편안,쭈욱,모습,관찰,기대,꼼꼼,당당,마음,허리,머리,배가,불룩,사탕,상상,상상력,생각,세계"
9788993242980,"그림책이 참 좋아 시리즈 15권. 오랫동안 어린이책에 그림을 그려 온 작가 유설화가 처음으로 쓰고 그린 그림책이다. 끊임없이 남의 시선을 의식하고 그 기대에 부응하며 살아가는 것이 과연 행복인지, 그렇다면 진짜 행복은 무엇인지 생각해 보게 하는 작품이다.",153583,"거북이,꾸물,거북,토끼,슈퍼,그림책,경주,토끼와 거북이,행복,자신,승리,기대,생각,유설화,이름,이웃,시작,슈퍼 거북,도시,한국,하루,시선,책읽는곰,어린이책,언행일치,영화,동상,동물,주인공,등딱지,인간,의식,보고,처음,개봉,거북이답,별명,걱정,본모습,부응,실망,열풍,그린,그림,간판,5 7세용,나답,가게,호흡,깊이"
9788949110479,왕자가 못된 용에게 붙잡힌 공주를 구한다는 전통 동화 양식을 뒤집어 공주를 주인공으로 내세웠다. 자기 삶의 주인공은 바로 자기임을 선언하는 당당한 현대판 공주의 이야기.,106823,"공주,동화,돼지치기 소년,주인공,한우리독서문화운동본부,비룡소,로버트 먼치,자기,페미니즘,현대적,왕자,양식,안데르센,시각,선언,당당,현대판"
