no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,bookImageURL,bookDtlUrl
1,1,하늘 100층짜리 집,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2017,9788966350759,74830,,833.6,문학 > 일본문학 > 소설,https://image.aladin.co.kr/product/12254/13/cover/8966350755_1.jpg, https://data4library.kr/bookV?seq=3658224
2,2,알사탕,백희나,책읽는곰,2017,9791158360375,77810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/10586/14/cover/k422530533_1.jpg, https://data4library.kr/bookV?seq=3423451
3,3,장수탕 선녀님,지은이: 백희나,책읽는곰,2012,9788993242706,77810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/069/922/06992205.jpg?type=m1&udate=20180120, https://data4library.kr/bookV?seq=2372746
4,4,지하 100층짜리 집,글·그림: 이와이 도시오 ;옮긴이: 김숙,북뱅크,2011,9788989863915,73830,,833.6,문학 > 일본문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/063/835/06383547.jpg?type=m1&udate=20150715, https://data4library.kr/bookV?seq=2372182
5,5,지각대장 존,존 버닝햄 글·그림 ;박상희 옮김,비룡소,2006,9788949110073,77840,6,843,문학 > 영미문학 > 소설,http://image.aladin.co.kr/product/13/71/cover/8949110075_2.jpg, https://data4library.kr/bookV?seq=327922
6,6,바다 100층짜리 집,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2014,9788966350278,74830,,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/4516/64/cover/8966350275_1.jpg, https://data4library.kr/bookV?seq=2613557
7,7,빵 공장이 들썩들썩,구도 노리코 글·그림 ;윤수정 옮김,책읽는곰,2015,9791185564951,77830,,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/6060/82/cover/6000855326_1.jpg, https://data4library.kr/bookV?seq=2645822
8,8,감기 걸린 물고기 :박정섭 그림책,글·그림: 박정섭,사계절,2016,9788958284482,77810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/9123/41/cover/895828448x_1.jpg, https://data4library.kr/bookV?seq=3326033
9,9,(앤서니 브라운의) 마술 연필,글·그림: 앤서니 브라운 ;옮김: 서애경,웅진씽크빅,2010,9788901113241,74800,,843,문학 > 영미문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/064/158/06415881.jpg?type=m1&udate=20180517, https://data4library.kr/bookV?seq=2374011
10,10,산딸기 크림봉봉,에밀리 젠킨스 글 ;길상효 옮김,씨드북,2016,9791185751917,77840,,843,문학 > 영미문학 > 소설,http://image.aladin.co.kr/product/8750/12/cover/k242535587_1.jpg, https://data4library.kr/bookV?seq=3247744
11,11,눈물바다,서현 글·그림,사계절출판사,2009,9788958284055,77810,,813.6,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/061/122/06112267.jpg?type=m1&udate=20131224, https://data4library.kr/bookV?seq=1013723
12,12,괜찮아 아저씨,김경희 글·그림,비룡소,2017,9788949105048,74800,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/10094/35/cover/8949105047_1.jpg, https://data4library.kr/bookV?seq=3408925
13,13,고구마구마,지은이: 사이다,반달,2017,9788956187372,77810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/10332/65/cover/8956187371_2.jpg, https://data4library.kr/bookV?seq=3416063
14,14,슈퍼 거북,유설화 글·그림,책읽는곰,2014,9788993242980,77810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/3568/34/cover/8993242984_1.jpg, https://data4library.kr/bookV?seq=2604318
15,15,종이 봉지 공주,로버트 먼치,비룡소,1998,9788949110479,77840,49,808.9,"문학 > 문학 > 전집, 총서",https://bookthumb-phinf.pstatic.net/cover/001/826/00182678.jpg?type=m1&udate=20170918, https://data4library.kr/bookV?seq=2374057
16,16,오싹오싹 당근,애런 레이놀즈 글 ;홍연미 옮김,알에이치코리아,2013,9788925550633,73840,,843,문학 > 영미문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/072/911/07291154.jpg?type=m1&udate=20180330, https://data4library.kr/bookV?seq=1976281
17,16,(세상에서 가장 긴 이름) 김수한무 거북이와 두루미 삼천갑자 동방삭,소중애 글 ;이승현 그림,비룡소,2013,9788949101354,74800,,813.5,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/2245/24/cover/8949101351_1.jpg, https://data4library.kr/bookV?seq=2425464
18,18,돼지책,글·그림: 앤서니 브라운;옮긴이: 허은미,웅진씽크빅,2006,9788901033518,74800,,843,문학 > 영미문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/001/701/00170132.jpg?type=m1&udate=20150821, https://data4library.kr/bookV?seq=2373919
19,19,꽁꽁꽁,윤정주 글·그림,책읽는곰,2016,9791158360276,77810,,813.7,문학 > 한국문학 > 소설,https://bookthumb-phinf.pstatic.net/cover/107/639/10763998.jpg?type=m1&udate=20180120, https://data4library.kr/bookV?seq=3183913
20,20,아저씨 우산,사노 요코 글·그림 ;김난주 옮김,비룡소,2002,9788949110271,77830,30,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/9/48/cover/894911027x_2.jpg, https://data4library.kr/bookV?seq=333144
21,20,깜박깜박 도깨비,글·그림: 권문희,사계절출판사,2014,9788958287551,77810,,813.5,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/4089/35/cover/8958287551_1.jpg, https://data4library.kr/bookV?seq=2038755
22,22,똥벼락,김회경 글;조혜란 그림,사계절출판사,2001,9788971967751,77850,,813.6,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/26/59/cover/8971967757_2.jpg, https://data4library.kr/bookV?seq=1811981
23,23,감자 이웃,김윤이 글·그림,고래이야기,2014,9788991941427,77810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/3946/0/cover/8991941427_1.jpg, https://data4library.kr/bookV?seq=2035565
24,23,이상한 엄마,백희나,책읽는곰,2016,9791158360214,77810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/7918/85/cover/k352434031_1.jpg, https://data4library.kr/bookV?seq=3128902
25,25,100층짜리 집,글·그림: 이와이 도시오 ;옮김: 김숙,북뱅크,2009,9788989863786,73830,,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/411/63/cover/8989863783_1.jpg, https://data4library.kr/bookV?seq=2308045
26,25,"소피가 화나면, 정말 정말 화나면",몰리 뱅 글·그림 ;박수현 옮김,책읽는곰,2013,9788993242935,77840,,843,문학 > 영미문학 > 소설,http://image.aladin.co.kr/product/3353/8/cover/8993242933_1.jpg, https://data4library.kr/bookV?seq=2605200
27,27,괴물들이 사는 나라 - 1964년 칼데콧 상 수상작,"모리스 샌닥 (지은이), 강무홍 (옮긴이)",시공주니어,2002,9788952782748,,,,,http://image.aladin.co.kr/product/10711/20/cover/8952782747_1.jpg, https://data4library.kr/bookV?seq=3436387
28,28,눈 오는 날의 기적,샘 어셔 글·그림 ;이상희 옮김,알에이치코리아,2016,9788925558226,77840,,843,문학 > 영미문학 > 소설,http://image.aladin.co.kr/product/7509/31/cover/892555822x_1.jpg, https://data4library.kr/bookV?seq=3120751
29,28,벗지 말걸 그랬어,글·그림: 요시타케 신스케 ;옮김: 유문조,스콜라,2016,9788962477207,77800,,833.6,문학 > 일본문학 > 소설,http://image.aladin.co.kr/product/8281/86/cover/8962477203_1.jpg, https://data4library.kr/bookV?seq=3149956
30,30,꿀방귀 똥방귀,원유순 글 ;유동관 그림,봄봄출판사,2012,9788991742352,77810,,813.7,문학 > 한국문학 > 소설,http://image.aladin.co.kr/product/1481/52/cover/8991742351_1.jpg, https://data4library.kr/bookV?seq=1846903
