"통계분류(1)",통계분류(2),통계분류(3),2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),통계분류(3),사례수,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,훌륭한 사람이 되기 위해,책을 전혀 읽지 않는다,기 타,사례수,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,훌륭한 사람이 되기 위해,책을 전혀 읽지 않는다,기 타,무응답,사례수,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,훌륭한 사람이 되기 위해,기 타,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,기 타,사례수,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,사례수,새로운 지식 정보습득,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,독서가 즐겁고 습관화,마음의 위로 평안,학과 공부나 숙제에 도움,기 타,사례수,새로운 지식 정보습득,책 읽는 것이 즐거워서,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,학교 숙제를 위해서,학교 공부에 도움이 되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,기 타,사례수,새로운 지식 정보습득,책 읽는 것이 즐거워서,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,학교 숙제를 위해서,학교 공부에 도움이 되므로,친구들과이야기를잘하기위해서,도서관 수업 시간에 과제 해결을 위해서,사례수,마음의 성장(위로)을 위해서,새로운 지식 정보습득,책 읽는 것이 즐거워서,교양과 상식을 쌓기 위해서,시간을 보내기 위해,진학이나진로선택에도움이되므로,학교 숙제를 위해서,학교 공부에 도움이 되므로,친구들과이야기를잘하기위해서,사례수,학업(일)에 필요해서,책 읽는 것이 재미있어서,자기 계발을 위해,드라마영화의 원작을 읽고 싶어서,관심 주제에 대한 자료 수집을 위해,마음의 성장(위로)을 위해서,시사 이슈나 최신 정보를 얻기 위해,기 타
"전체",소계,소계,3000,17.6,5.8,13.7,8.8,28.1,9.4,8.8,3.4,1.2,3.3,3000,30.2,8.4,12.8,5.2,1.7,2.6,15.2,6.5,7.6,5.9,0.8,2.6,0.5,3000,32.7,12.9,8.5,6.6,1.2,2.1,13,6.3,6.7,6.6,3.4,37.1,15.8,10.3,7.3,1.2,2.4,11.1,5.9,7.2,1.5,2905,26.5,11.9,15,8.3,14.7,6.9,10.1,2871,31.3,15.3,8.6,10.2,1,2.7,15.7,6,8.4,0.7,3110,28.8,16.7,14.1,7.6,11.4,8.6,5.7,1.3,2.4,3.1,2879,28.7,16.8,11.8,8.8,10.6,8.7,6.7,1.3,2.8,3036,8.3,27.8,15.3,10.5,9.7,8.6,8.4,5.6,1.4,2300,29.4,27.3,13.9,8.6,7.7,5.4,1.9,5.9
"학교급",초등학교,소계,1000,19.2,7.2,12.3,7.5,30.4,7.2,9,3.2,0.4,3.7,1000,37.3,0,11.4,3.4,2.1,0,17.8,6.4,9.1,8.8,0,3.7,0,1000,38.7,9.8,5.4,2.9,1.3,1.1,15.3,5.3,7.2,10.6,2.5,44.2,12,8.8,4.6,1.7,1.4,10.2,4.3,11.2,1.6,998,33.5,8.5,12,4.7,17.3,5.5,12.4,843,37.5,10.3,8.7,7.4,1.7,2.6,16,3.7,11,1.2,926,34.8,16.3,8.3,8.2,8.4,6.6,8.8,1.7,2.2,4.5,966,34.4,17.7,6.3,9.1,7.1,7.2,9.9,1.9,1.9,1070,6.5,34.4,14.1,6.7,9.2,6.6,5.4,7.6,2.2,816,23,30,12.5,6.8,8.9,6.1,2.3,10.4
"학교급",중학교,소계,1000,15.4,5,15.1,9.9,27.4,9.3,9.4,3.5,1.2,3.9,1000,25.4,10.6,15,5,2,5,15.1,6,7.3,4.9,0.8,2.5,0.7,1000,30.3,12.7,10.7,6.6,0.9,2.6,12.5,5.6,7.3,5.2,5.3,34.9,15.5,11.3,8.6,1.4,3.1,11.9,5.3,6.3,1.7,968,24.4,11.5,17.6,8.3,13.8,6.7,10.1,1001,32.6,13.9,10.8,8.6,0.9,2.8,15.4,6.1,8.4,0.4,1023,28.7,16,13.6,9.6,10.2,7.9,5.5,1.5,3.2,2.9,908,25.4,16.2,12.3,9.8,9,10.2,7.4,1.3,4.1,1006,8.1,25.2,15.5,12,10.7,8,9.6,6.1,1.1,763,30.9,25.2,15.1,12.3,5.8,3.6,2,5.2
"학교급",고등학교,소계,1000,18,5.2,13.7,8.9,26.6,11.7,7.9,3.6,1.9,2.4,1000,27.8,14.9,12.1,7.1,0.9,3,12.7,7.1,6.3,4,1.7,1.7,0.7,1000,29,16.1,9.6,10.1,1.3,2.7,11.1,7.9,5.7,4,2.3,32.7,19.5,10.8,8.6,0.6,2.7,11.3,8,4.4,1.3,939,21.2,16.2,15.4,12.4,13,8.4,7.7,1027,25.1,20.7,6.4,14,0.6,2.7,15.8,7.8,6.2,0.7,1160,24,17.6,19.1,5.3,14.9,10.8,3.3,0.9,2,2.1,1006,26.1,16.6,16.8,7.7,15.4,8.6,2.9,0.5,2.5,960,10.5,23.3,16.4,13.2,9.3,11.4,10.5,2.8,0.8,722,35,26.5,14.2,6.8,8.2,6.5,1.3,1.6
"학교급*성별",초등학교,남자,500,20.1,7.9,13.1,7.3,27.8,6.2,9.1,3.4,0.5,4.7,508,40.5,0,11.6,2.9,2.3,0,16.9,5.4,7.6,9.1,0,3.7,0,493,42.3,9.7,7,2.3,1.4,1,11.3,4.2,6.4,11.5,2.9,48.3,12.1,9.9,3.3,2.2,1.2,7.8,3.5,10.1,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,415,20.4,28.5,11.7,8.1,10.5,5.9,1.8,13
"학교급*성별",초등학교,여자,500,18.3,6.5,11.4,7.8,32.9,8.1,9,2.9,0.3,2.7,492,34,0,11.1,4,2,0,18.6,7.5,10.5,8.4,0,3.8,0.1,507,35.3,9.9,3.9,3.5,1.1,1.1,19.2,6.3,8,9.6,2,39.9,11.9,7.6,6,1.2,1.6,12.7,5.2,12.3,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400,25.6,31.6,13.3,5.5,7.2,6.3,2.8,7.7
"학교급*성별",중학교,남자,500,17.5,6,15.2,8.8,26.1,9.5,8,3.2,1.4,4.4,505,28.7,10.7,16.6,3.2,1.9,4.1,14.6,4.8,6.3,5.4,0.8,2.1,0.8,500,33.1,13.5,11.2,5.1,1.2,1.9,11.7,4.5,8.3,5.6,4.1,36.9,16.3,12.6,7.3,0.9,3.1,10.5,4.6,5.8,2.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,369,30.5,24.2,17.3,7.3,6.1,3,3.1,8.5
"학교급*성별",중학교,여자,500,13.4,4.1,15,11,28.6,9.1,10.7,3.7,1,3.4,495,22,10.5,13.4,6.8,2.1,5.8,15.6,7.2,8.2,4.3,0.7,2.8,0.7,500,27.4,12,10.1,8.7,0.6,3.3,13.4,6.8,6.4,4.8,6.5,32.9,14.7,10,9.9,2,3.1,13.3,6.2,6.8,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,394,31.3,26.1,13.1,16.9,5.5,4.1,0.9,2.1
