"통계분류(1)",통계분류(2),통계분류(3),2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),통계분류(3),사례수,종이책,전자책,오디오북,종이책+전자책
"전체",소계,소계,2400,93.1,51.9,15,95.7
"학교급",초등학교,소계,817,98.4,50.2,21.9,99.7
"학교급",중학교,소계,806,92,53.1,12.2,94.7
"학교급",고등학교,소계,777,88.6,52.4,10.6,92.7
"학교급*성별",초등학교,남,417,97.8,46.9,20.5,99.3
"학교급*성별",초등학교,여,400,98.9,53.6,23.2,100
"학교급*성별",중학교,남,397,88.8,46.7,12.8,92.8
"학교급*성별",중학교,여,408,95,59.3,11.7,96.6
"학교급*성별",고등학교,남,430,84.8,46.5,8.2,90.5
"학교급*성별",고등학교,여,347,93.4,59.7,13.7,95.5
"학교급*학년",초등학교,4학년,256,100,37.1,24.3,100
"학교급*학년",초등학교,5학년,284,98.6,57.5,24.1,100
"학교급*학년",초등학교,6학년,277,96.6,54.7,17.3,99
"학교급*학년",중학교,1학년,275,94.3,56.1,15.3,96.4
"학교급*학년",중학교,2학년,260,87.2,54.7,9.3,92.4
"학교급*학년",중학교,3학년,271,94.1,48.5,11.9,95.1
"학교급*학년",고등학교,1학년,307,88.7,52.9,8.8,93.9
"학교급*학년",고등학교,2학년,250,91.4,53.8,14.8,94.8
"학교급*학년",고등학교,3학년,221,85.3,50.1,8.4,88.7
"연간 독서량",없음,소계,100,0,0,0,0
"연간 독서량",1~5권,소계,733,94.4,32.3,5.3,99.9
"연간 독서량",6~10권,소계,401,97.8,59.7,14.3,100
"연간 독서량",11~15권,소계,218,98.2,73.3,16.3,100
"연간 독서량",16~20권,소계,120,98.5,63.6,14.7,100
"연간 독서량",21권 이상,소계,829,98.6,64.3,25.4,99.9
