"통계분류(1)",통계분류(2),2011,2013,2013,2013,2015,2015,2015,2017,2017,2017,2019,2019,2019,2021,2021,2021
"통계분류(1)",통계분류(2),읽음,사례수,읽음,안읽음,사례수,읽음,안읽음,사례수,읽음,안읽음,사례수,읽음,안읽음,사례수,읽음,안읽음
"전체",소계,93.7,3000,96.8,3.2,3000,95.7,4.3,3329,93.2,6.8,3126,91.9,8.1,3320,91.3,8.7
"학교급",초등학교,98.5,1000,99.8,0.2,845,99.8,0.2,945,98,2,1005,95.8,4.2,1117,95.7,4.3
"학교급",중학교,91.9,1000,96.8,3.2,1041,96.1,3.9,1085,94.1,5.9,985,92,8,1095,91.9,8.1
"학교급",고등학교,91,1000,93.9,6.1,1115,92.1,7.9,1298,89.1,10.9,1136,88.4,11.6,1108,86.5,13.5
"학교급 성별",초등학교-남,98,517,99.6,0.4,440,99.6,0.4,489,96.7,3.3,518,93.8,6.2,575,94.9,5.1
"학교급 성별",초등학교-여,99,483,100,0,404,100,0,456,99.4,0.6,487,98,2,541,96.5,3.5
"학교급 성별",중학교-남,88.8,496,95.6,4.4,544,95.7,4.3,567,93.2,6.8,512,88.5,11.5,566,89.8,10.2
"학교급 성별",중학교-여,95.1,504,98,2,496,96.6,3.4,519,95,5,473,95.8,4.2,529,94,6
"학교급 성별",고등학교-남,85.4,495,91.7,8.3,582,91.3,8.7,690,86.9,13.1,594,84,16,579,81.9,18.1
"학교급 성별",고등학교-여,96.3,505,96,4,533,93.1,6.9,608,91.5,8.5,542,93.2,6.8,529,91.5,8.5
"학교급 학년",초등학교 4학년,-,327,100,0,276,100,0,307,99.2,0.8,333,97.5,2.5,380,97.3,2.7
"학교급 학년",초등학교 5학년,-,319,100,0,287,100,0,309,97.9,2.1,351,98.1,1.9,360,93.1,6.9
"학교급 학년",초등학교 6학년,-,354,99.4,0.6,282,99.4,0.6,329,96.9,3.1,320,91.7,8.3,376,96.5,3.5
"학교급 학년",중학교 1학년,-,338,98.5,1.5,321,97.7,2.3,338,95.7,4.3,308,93.4,6.6,394,94,6
"학교급 학년",중학교 2학년,-,329,95.4,4.6,363,97,3,350,93.1,6.9,332,90.6,9.4,357,92.8,7.2
"학교급 학년",중학교 3학년,-,333,96.4,3.6,358,93.8,6.2,397,93.6,6.4,345,92.1,7.9,344,88.4,11.6
"학교급 학년",고등학교 1학년,-,335,95.5,4.5,319,93.7,6.3,394,95,5,338,90.4,9.6,392,88.2,11.8
"학교급 학년",고등학교 2학년,-,337,94.7,5.3,313,92.3,7.7,450,92.6,7.4,377,88.3,11.7,364,87,13
"학교급 학년",고등학교 3학년,-,328,91.5,8.5,482,91,9,454,80.2,19.8,421,86.9,13.1,352,84,16
