추천연월,테마,대상,책제목,주제구분,지은이,발행사,발행년도,ISBN,청구기호
2025-08,,유아,머리카락이 자라면 : 김현례 그림책,문학,글·그림: 김현례,웅진주니어 : 웅진씽크빅,2025,9788901292304,아813.7-25-657
2025-08,,유아,훌쩍훌쩍 노랑이,문학,이현영 글·그림,현북스,2025,9791157414338,아813.7-25-856
2025-06,바다,유아,반짝이는 섬,문학,장준영 글·그림,계수나무,2022,9791192056524,아813.7-22-1620
2025-06,바다,유아,바다,문학,지은이: 강효선 ;엮은이: 김향수,향,2023,9791191886245,아813.7-23-2167
2025-04,,유아,나에게 주는 상,문학,이숙현 글 ;안소민 그림,호랑이꿈,2024,9791198424747,아813.7-24-2570
2025-04,,유아,숫자 넘어 숫자 이야기 : 송조 그림책,문학,글·그린이: 송조,한림출판사,2024,9791192697857,아813.7-24-2332
2025-02,,유아,오늘 왜 이래?,문학,덩컨 비디 글·그림 ;서남희 옮김,국민서관,2024,9788911131372,아843-24-418
2025-02,,유아,황금 이빨 토끼,문학,글: 세연 ;그림: 이유진,다림,2024,9788961773423,아813.7-24-2258
2024-12,"모험, 탐험",유아,작은 탐험,문학,지은이: 꼼은영,산책길,2023,9791198527103,아813.7-24-202
2024-12,"모험, 탐험",유아,펭귄 탐험대의 모험 : 남쪽 섬의 비밀,문학,글쓴이: 사이토 히로시 ;그린이: 다카바타케 준 ;옮긴이: 김숙,미디어창비,2023,9791193022115,아833.6-23-269
2024-10,,유아,곤충 호텔,문학,한라경 글 ;무운 그림,소원나무,2024,9791193207406,아813.7-24-1375
2024-10,,유아,빛나는 별이 될 거예요!,문학,크리스틴 나우만 빌맹 글 ;시빌 들라크루아 그림 ;김이슬 옮김,국민서관,2024,9788911131266,아863-24-90
2024-08,,유아,나는 모으는 사람 : 안소민 그림책,문학,안소민 지음,옥돌프레스,2024,9791197608223,아813.7-24-521
2024-08,,유아,바나나 선생님,문학,도쿠다 유키히사 글 ;야마시타 고헤이 그림 ;김보나 옮김,북뱅크,2024,9788966351978,아833.6-24-134
2024-06,스포츠,유아,수영 이불 : 재희 그림책,문학,글·그림: 재희,사계절(사계절출판사),2021,9791160947502,아813.7-21-1341
2024-06,스포츠,유아,달팽이 달리기,문학,지은이: 이혜인,킨더랜드,2023,9791170820314,아813.7-23-2100
2024-04,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,유아,혼자도 좋지만 심심한 건 싫어,문학,글: 앨리스 ;그림: 라나킴,맑은물 : 에이치제이스마트에듀,2023,9791191494419,아813.7-24-77
2024-04,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,유아,달달달 달려요 : 김도아 그림책,문학,글·그림: 김도아,웅진주니어 : 웅진씽크빅,2023,9788901051673 9788901276502,아813.7-23-2140
2024-02,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,유아,사과는 이렇게 하는 거야,철학,데이비드 라로셀 글 ;마이크 우누트카 그림 ;이다랑 옮김,블루밍 : 제이포럼,2023,9791197525377,아189-23-18
2024-02,,유아,전놀이,문학,동글 씀 ;강은옥 그림,소원나무,2023,9791193207024 9791193207123,아813.7-23-1954
2023-12,약속,유아,올리브와 레앙드르,문학,알렉스 쿠소 글 ;자니크 코트 그림 ;윤경희 옮김,창비 : 창비교육,2021,9791165700683,아863-21-166
2023-12,약속,유아,잠들기 전에 약속할게,문학,지은이: 조르지오 볼페 ;그린이: 파올로 프로이에티 ;옮긴이: 나린글 편집부,나린글,2021,9791196963835,아883-21-32
2023-10,,유아,완벽한 계란 후라이 주세요,문학,보람 글·그림,길벗어린이,2023,9788955826623 9788955827071,아813.7-23-1290
2023-10,,유아,"거짓말이 뿡뿡, 고무장갑! : 유설화 그림책",문학,유설화,책읽는곰,2023,9788993242300 9791158364021,아813.7-23-986
2023-08,,유아,문 밖에 사자가 있다,문학,윤아해 글 ;조원희 그림,뜨인돌어린이 : 뜨인돌출판,2023,9788958079484,아813.7-23-503
2023-08,,유아,생일,문학,울리카 케스테레 글·그림 ;김지은 옮김,문학과지성사,2023,9788932040660,아859.7-23-3
2023-06,반려동물,유아,안녕 팝콘,문학,이준혁 원작 ;강한 그림,M창비(미디어창비),2022,9791191248852,아813.7-23-156
2023-06,반려동물,유아,너를 기다리는 시간 : 이이삼 그림책,문학,글·그림: 이이삼,보랏빛소어린이 : 보랏빛소,2022,9791187856207 9791190867818,아813.7-22-1940
2023-04,,유아,이 선을 넘지 말아 줄래?,문학,백혜영 지음,한울림어린이 : 한울림,2022,9791163931300,아813.7-23-168
2023-04,,유아,너희가 똥을 알아? : 이혜인 그림책,문학,글·그림: 이혜인,웅진주니어 : 웅진씽크빅,2022,9788901051673 9788901266121,아813.7-23-250
2023-02,,유아,일곱 할머니와 놀이터,문학,구돌 글·그림,비룡소,2022,9788949102603,아813.7-22-1729
2023-02,,유아,같이 삽시다 쫌! : 하수정 그림책,문학,하수정 글·그림,길벗어린이,2022,9788955826661,아813.7-22-1975
2022-12,"안전, 재난",유아,나는 나를 지켜요,사회과학,다카하마 마사노부 글 ;하야시 유미 그림 ;김보혜 옮김,Fika Junior(피카주니어),2022,9791197419119,아372.42-22-7
2022-12,"안전, 재난",유아,준비됐니? 준비됐어!,사회과학,글: 천미진 ;그림: 윤태규,키즈엠,2020,9791164632077,아372.42-21-3
2022-11,,유아,나의 사랑스러운 할머니 : 모지애 그림책,문학,글·그림: 모지애,북극곰,2022,9791165881917,아813.7-22-1447
2022-10,,유아,잠깐만 기다려,문학,지은이: 차은실 ;엮은이: 김향수,향,2022,9791191886092,아813.7-22-1115
2022-09,,유아,마음버스,문학,글: 김유 ;그림: 소복이,천개의바람,2022,9791165732257,아813.7-22-910
2022-08,,유아,코끼리 놀이터,문학,글: 서석영 ;그림: 주리 ;번역: 안선재,바우솔 : 풀과바람,2022,9788983899767,아813.7-22-597
2022-07,,유아,(미세미세한 맛) 플라수프,기술과학,"글: 김지형,조은수 ;그림: 김지형",두마리토끼책,2022,9791197303449,아539-22-45
2022-06,전쟁과 평화,유아,곰이 왔어!,문학,조수경 글·그림,올리,2021,9791190931397 9791190931502,아813.7-21-1211
2022-06,전쟁과 평화,유아,숨바꼭질 : 김정선 그림책,문학,글·그림: 김정선,사계절,2018,9791160943757,아813.7-18-571
2022-05,,유아,그래도 꼭 해 볼 거야!,문학,킴 힐야드 글·그림 ;장미란 옮김,책읽는곰,2022,9791158362812,아843-22-116
2022-04,,유아,똑같을까? : 이희은 그림책,문학,글·그림: 이희은,사계절(사계절출판사),2021,9791160948868,아813.7-22-80
2022-03,,유아,눈아이 : 안녕달 그림책,문학,지은이: 안녕달,창비,2021,9788936455736,아813.7-22-61
2022-02,,유아,옳은손 길들이기 : 이주미 그림책,문학,이주미 글·그림,길벗어린이,2021,9788955826302,아813.7-21-1603
2022-01,,유아,엄마 도감 : 권정민 그림책,문학,글·그림: 권정민,웅진주니어 : 웅진씽크빅,2021,9788901251509,아813.7-21-1521
2021-12,,유아,친구의 전설 : 이지은 그림책,문학,글·그림: 이지은,웅진주니어 : 웅진씽크빅,2021,9788901251226,아813.7-21-1377
2021-11,,유아,지렁이 칼의 아주 특별한 질문,문학,데보라 프리드만 글·그림 ;이상희 옮김,비룡소,2021,9788949114064,아843-21-364
2021-10,,유아,넘어 : 김지연 그림책,문학,지은이: 김지연,북멘토,2021,9788963194059,아813.7-21-659
2021-09,,유아,뻥! 나도 축구왕,문학,허아성 글·그림,비룡소,2021,9788949102535,아813.7-21-695
2021-08,,유아,나는 강물처럼 말해요,문학,조던 스콧 글 ;시드니 스미스 그림 ;김지은 옮김,책읽는곰,2021,9791158362157,아843-21-150
2021-07,,유아,길 잃은 아기 늑대,문학,글: 레이철 브라이트 ;그림: 짐 필드 ;옮김: 권미자,에듀앤테크,2020,9791196799236,아843-21-88
